gene_id,gene_name,cluster_id
ENSG00000107625.14,DDX50,11
ENSG00000108064.11,TFAM,2
ENSG00000108094.17,CUL2,12
ENSG00000108100.18,CCNY,2
ENSG00000108179.14,PPIF,14
ENSG00000108219.15,TSPAN14,3
ENSG00000108256.9,NUFIP2,13
ENSG00000108312.15,UBTF,13
ENSG00000108384.15,RAD51C,11
ENSG00000108423.15,TUBD1,13
ENSG00000108439.11,PNPO,12
ENSG00000108510.10,MED13,2
ENSG00000108587.16,GOSR1,14
ENSG00000108588.15,CCDC47,1
ENSG00000108591.10,DRG2,12
ENSG00000108671.11,PSMD11,13
ENSG00000108953.17,YWHAE,19
ENSG00000109046.15,WSB1,13
ENSG00000109084.14,TMEM97,12
ENSG00000109099.16,PMP22,13
ENSG00000109133.13,TMEM33,1
ENSG00000109171.15,SLAIN2,9
ENSG00000109180.15,OCIAD1,12
ENSG00000109332.20,UBE2D3,7
ENSG00000109381.21,ELF2,12
ENSG00000109445.11,ZNF330,13
ENSG00000109519.13,GRPEL1,1
ENSG00000109572.15,CLCN3,13
ENSG00000109586.12,GALNT7,13
ENSG00000109917.11,ZPR1,13
ENSG00000110025.13,SNX15,12
ENSG00000110066.15,KMT5B,13
ENSG00000110172.12,CHORDC1,13
ENSG00000110200.9,ANAPC15,13
ENSG00000110315.7,RNF141,3
ENSG00000110344.10,UBE4A,13
ENSG00000110367.14,DDX6,13
ENSG00000110660.15,SLC35F2,12
ENSG00000110696.10,C11orf58,11
ENSG00000110721.12,CHKA,3
ENSG00000110880.11,CORO1C,2
ENSG00000110931.19,CAMKK2,13
ENSG00000110958.16,PTGES3,19
ENSG00000110987.9,BCL7A,13
ENSG00000111011.18,RSRC2,3
ENSG00000111142.14,METAP2,2
ENSG00000111247.15,RAD51AP1,9
ENSG00000111276.12,CDKN1B,12
ENSG00000111358.14,GTF2H3,14
ENSG00000111364.16,DDX55,13
ENSG00000111371.16,SLC38A1,13
ENSG00000111412.6,SPRING1,3
ENSG00000111481.10,COPZ1,1
ENSG00000111530.13,CAND1,2
ENSG00000111596.14,CNOT2,13
ENSG00000111605.18,CPSF6,1
ENSG00000111615.14,KRR1,9
ENSG00000111725.11,PRKAB1,9
ENSG00000111737.12,RAB35,2
ENSG00000111790.14,FGFR1OP2,1
ENSG00000111843.14,TMEM14C,12
ENSG00000111875.8,ASF1A,1
ENSG00000111885.7,MAN1A1,1
ENSG00000111897.7,SERINC1,12
ENSG00000112031.16,MTRF1L,13
ENSG00000112062.11,MAPK14,13
ENSG00000112077.18,RHAG,13
ENSG00000112078.14,KCTD20,9
ENSG00000112081.17,SRSF3,3
ENSG00000112146.17,FBXO9,13
ENSG00000112200.17,ZNF451,1
ENSG00000112208.11,BAG2,1
ENSG00000112237.13,CCNC,12
ENSG00000112249.14,ASCC3,13
ENSG00000112308.13,C6orf62,1
ENSG00000112339.15,HBS1L,4
ENSG00000112419.15,PHACTR2,9
ENSG00000112531.17,QKI,1
ENSG00000112651.12,MRPL2,13
